level,name,alarmS,location,label
1,1,1,52,389
2,3,28,265,227
2,3,34,265,265
2,3,37,265,276
2,3,125,271,152
2,3,75,271,25
2,3,33,163,264
2,3,37,265,264
2,3,28,265,264
2,3,37,265,264
2,3,33,163,264
2,3,36,270,264
2,3,39,265,264
2,3,43,265,333
2,3,63,172,333
1,2,63,172,333
1,2,63,172,380
1,2,63,172,380
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,37,265,276
2,3,35,265,268
2,3,80,266,35
2,3,90,266,35
2,3,34,265,265
2,4,15,234,162
2,4,8,216,383
2,4,8,216,383
2,4,8,216,383
2,4,8,216,383
2,4,8,216,383
2,4,8,216,383
2,4,8,216,383
2,4,9,209,383
2,4,9,209,383
2,4,9,209,383
2,4,9,209,383
2,4,9,209,383
2,4,9,209,383
2,4,9,216,383
2,4,9,216,383
2,4,9,216,383
2,4,9,216,383
2,4,9,216,383
2,4,9,216,383
2,5,147,232,241
2,5,73,292,23
2,6,92,175,65
2,6,44,217,335
2,6,107,297,100
2,6,107,299,100
2,6,107,300,101
2,6,13,249,128
2,6,66,304,6
2,6,105,219,94
2,6,115,297,125
2,6,115,299,125
2,6,115,300,125
2,6,13,297,132
2,6,13,299,132
2,6,13,300,132
2,6,40,295,311
2,6,40,296,311
2,6,62,303,371
2,6,76,295,28
2,6,75,297,28
2,6,76,296,28
2,6,75,299,28
2,6,76,298,28
2,6,75,300,27
2,6,114,297,120
2,6,114,300,120
2,6,114,299,121
2,6,13,149,129
2,6,15,207,161
2,6,29,295,232
2,6,29,296,233
2,6,29,298,233
2,6,23,259,187
2,6,88,297,60
2,6,88,299,60
2,6,88,300,60
2,6,86,297,51
2,6,86,299,52
2,6,86,300,53
2,6,66,297,9
2,6,66,299,10
2,6,66,300,11
2,6,40,298,313
2,6,40,296,313
2,6,40,295,313
2,6,42,295,332
2,6,42,296,332
2,6,42,298,332
2,6,87,297,55
2,6,87,299,56
2,6,87,300,57
2,6,18,295,169
2,6,18,296,169
2,6,18,298,169
2,6,20,296,177
2,6,133,295,193
2,6,133,296,193
2,6,134,295,193
2,6,134,296,193
2,6,134,298,193
2,6,133,298,193
2,6,14,295,143
2,6,14,296,143
2,6,14,298,144
2,6,138,295,202
2,6,138,296,202
2,6,138,298,202
2,6,137,295,202
2,6,137,296,202
2,6,137,298,202
2,6,23,234,186
2,6,99,297,84
2,6,99,299,85
2,6,99,300,85
2,6,28,267,228
2,6,148,297,244
2,6,148,299,244
2,6,148,300,245
2,6,145,297,237
2,6,145,299,238
2,6,145,300,238
2,6,84,174,48
2,6,44,295,338
2,6,44,296,338
2,6,44,298,338
2,6,87,248,54
2,6,101,297,89
2,6,100,295,89
2,6,101,299,90
2,6,100,296,90
2,6,101,300,91
2,6,100,298,91
2,6,32,154,261
2,6,91,298,64
2,6,91,296,64
2,6,91,295,64
2,6,128,297,176
2,6,128,300,176
2,6,128,299,176
2,6,139,295,206
2,6,139,296,206
2,6,139,298,206
2,6,62,304,372
2,6,13,149,129
2,7,30,159,239
2,8,30,213,251
1,8,132,215,181
1,8,20,217,174
1,8,132,215,181
1,8,132,215,181
1,8,132,215,181
1,8,132,215,181
1,8,132,215,181
1,8,132,215,181
1,8,132,215,181
2,9,138,268,204
2,9,74,268,24
2,10,108,0,103
2,10,100,0,87
2,10,111,0,113
1,11,38,289,281
1,11,131,271,178
1,11,34,265,265
1,11,32,254,260
1,11,32,254,260
1,11,32,254,260
1,11,32,254,260
1,11,35,265,268
1,11,35,265,268
1,11,143,252,212
1,11,36,270,271
1,11,38,276,279
1,11,36,270,271
1,11,37,265,276
1,11,36,270,271
1,11,37,265,276
1,11,38,276,279
1,11,38,284,280
1,11,45,231,340
1,11,36,265,270
1,11,45,231,340
1,11,45,231,340
1,11,28,258,226
1,11,133,170,194
1,11,162,164,305
1,11,160,261,305
1,11,158,155,305
1,11,38,265,278
1,11,36,284,272
1,11,37,265,276
1,11,38,276,279
1,11,36,270,271
1,11,37,265,276
1,11,32,254,260
1,11,160,261,303
1,11,158,155,303
1,11,126,266,155
1,11,162,164,305
1,11,34,289,266
1,11,35,284,266
1,11,36,270,271
1,12,36,220,275
1,12,36,212,275
1,12,149,51,248
1,12,9,201,386
1,12,41,217,328
1,12,41,210,328
1,12,41,217,328
1,12,41,210,328
1,12,41,217,328
1,12,41,210,328
1,12,41,217,328
1,12,41,210,328
1,12,41,217,328
1,12,41,210,328
1,12,41,210,328
1,12,41,217,328
1,13,64,266,1
2,14,52,180,354
2,14,25,163,201
2,15,20,202,182
2,15,21,223,183
2,15,168,182,323
2,15,82,293,44
2,15,62,238,374
2,15,15,177,160
2,15,3,241,112
2,15,3,157,146
2,15,126,188,159
2,15,80,253,34
2,15,25,223,191
2,15,63,260,378
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,25,223,191
2,15,12,196,96
1,16,125,165,154
1,16,138,157,203
1,16,75,275,26
1,16,87,166,58
1,16,68,148,13
1,16,95,288,69
1,16,62,256,375
1,16,113,249,119
1,16,15,153,151
1,16,113,249,119
1,17,38,284,280
1,17,89,279,61
1,17,88,287,61
1,17,89,274,61
1,17,88,282,59
1,17,95,283,68
1,17,81,283,38
1,17,69,280,16
1,17,69,275,15
1,17,69,158,17
1,17,68,256,17
1,17,69,235,17
1,17,78,166,31
1,17,149,225,246
1,17,115,285,123
1,17,147,232,242
1,17,72,263,20
1,17,72,263,20
1,17,72,263,20
1,17,72,263,20
1,17,72,263,20
1,17,77,288,30
